Название товара,Категория,Артикул,Цена,Кол-во на складе,Описание,Ссылки на изображение
Morphy Richards 303131,Утюги,303131,5990,20,"мощность: 3100 Вт
материал подошвы: керамика
постоянный пар: 55 г/мин
паровой удар: 200 г/мин
вертикальное отпаривание
функция разбрызгивания
автоматическое отключение
противокапельная система
вес: 1.7 кг","https://avatars.mds.yandex.net/get-mpic/1912364/img_id174677577506452641.jpeg/orig
https://avatars.mds.yandex.net/get-mpic/1733932/img_id8410327789250559687.jpeg/orig
https://avatars.mds.yandex.net/get-mpic/1886132/img_id5571363292323095529.jpeg/orig
"
Tefal FV1849 Maestro 2,Утюги,FV1849,1640,35,"мощность: 2300 Вт
материал подошвы: керамика
постоянный пар: 35 г/мин
паровой удар: 120 г/мин
вертикальное отпаривание
функция разбрызгивания
автоматическое отключение
противокапельная система","https://avatars.mds.yandex.net/get-mpic/1478677/img_id6207480368066652650.png/orig
https://avatars.mds.yandex.net/get-mpic/1428687/img_id7526160650133464789.png/orig
https://avatars.mds.yandex.net/get-mpic/1349652/img_id3329611253859597743.png/orig
https://avatars.mds.yandex.net/get-mpic/1478677/img_id7345431723321631878.png/orig"
Weissgauff HMT-202 (встраиваемая),Микроволновые печи,HMT-202,13990,58,"объем 20 л
мощность 700 Вт
внутреннее покрытие камеры: биокерамическая эмаль
без поворотного стола
кнопочные, поворотные тактовые переключатели
дисплей
система равномерного распределения микроволн
защита от детей","https://avatars.mds.yandex.net/get-mpic/1924580/img_id5241761150775295534.jpeg/orig
https://avatars.mds.yandex.net/get-mpic/1644362/img_id357600878314677950.jpeg/orig"
LG MS-20M47DARB,Микроволновые печи,MS-20M47DARB,6790,15,"объем 20 л
мощность 700 Вт
-- переключатели
дисплей
система равномерного распределения микроволн
защита от детей","https://avatars.mds.yandex.net/get-mpic/200316/img_id2652249351015355775/orig
https://avatars.mds.yandex.net/get-mpic/1363658/img_id6697387987175862458.jpeg/orig"
Кофеварка рожковая De'Longhi Dedica EC 685,Кофеварки и кофемашины,EC 685,17990,34,"для молотого кофе и в чалдах
давление 15 бар
приготовление капучино
отключение при неиспользовании
одновременная раздача на 2 чашки
металлический корпус","https://avatars.mds.yandex.net/get-mpic/200316/img_id3847466425035902674/orig
https://avatars.mds.yandex.net/get-mpic/1565610/img_id6778570220669063695/orig"
Кофемашина Philips EP1220 Series 1200,Кофеварки и кофемашины,EP1220,19500,67,"автоматическая, 15 бар
для зернового и молотого кофе
кофемолка с регулировкой степени помола
контроль крепости кофе
настройка температуры
регулировка порции воды
приготовление капучино
отключение при неиспользовании
одновременная раздача на 2 чашки","https://avatars.mds.yandex.net/get-mpic/2017118/img_id4219950176206594875.jpeg/orig
https://avatars.mds.yandex.net/get-mpic/1669769/img_id6230792042826838420.jpeg/orig"
